time,open,high,low,close,volume
1569009600,10161.4,10185.34,10070.67,10166.35,3820.8079999999977
1569024000,10166.56,10175.3,10116.8,10124.75,3662.8930000000028
1569038400,10124.35,10126.81,9963.02,10079.89,4673.538000000002
1569052800,10081.07,10081.07,9983.25,10046.6,3967.174000000001
1569067200,10046.6,10067.0,9912.63,10037.11,3990.876000000002
1569081600,10037.05,10056.0,9959.97,10016.8,3519.3660000000023
1569096000,10016.78,10023.56,9943.05,9983.33,3828.539999999999
1569110400,9992.7,10001.98,9862.81,9872.07,4561.077000000001
1569124800,9872.0,10053.56,9857.0,10023.53,3791.3520000000003
1569139200,10024.91,10089.52,9978.96,10001.83,3755.5690000000013
1569153600,10000.53,10057.43,9932.01,9989.89,3816.7790000000023
1569168000,9990.0,10025.0,9949.2,9987.48,4011.848000000002
1569182400,9987.61,10073.46,9982.6,10023.04,3979.7289999999994
1569196800,10027.69,10046.91,9950.0,9975.58,4722.7109999999975
1569211200,9978.57,9983.81,9878.51,9904.0,3827.302999999999
1569225600,9904.0,9968.49,9904.0,9915.09,3484.654000000001
1569240000,9914.11,9951.05,9708.91,9867.06,7566.860999999996
1569254400,9867.54,9883.89,9779.0,9805.1,4499.0819999999985
1569268800,9804.39,9836.28,9620.0,9701.96,7826.451000000004
1569283200,9701.1,9792.83,9603.5,9718.71,4279.612000000001
1569297600,9718.63,9791.07,9689.0,9755.67,2594.573
1569312000,9754.05,9768.0,9680.27,9726.09,3996.6769999999988
1569326400,9725.67,9729.07,9408.47,9530.0,15301.877999999997
1569340800,9529.45,9598.0,7761.75,8355.81,24743.029
1569355200,8358.01,8755.44,8137.09,8495.83,23548.671000000017
1569369600,8493.32,8725.24,8492.65,8565.61,8267.584999999994
1569384000,8565.52,8589.25,8200.0,8322.35,7839.0390000000025
1569398400,8325.28,8546.73,8215.0,8327.38,7480.943999999996
1569412800,8324.27,8460.0,8242.61,8293.28,9081.314000000004
1569427200,8295.79,8408.31,8223.71,8346.96,6397.2729999999965
1569441600,8346.96,8628.44,8332.41,8430.07,9155.947
1569456000,8428.15,8443.55,8316.61,8361.8,4251.145999999998
1569470400,8361.82,8431.0,8335.72,8379.0,3154.6220000000003
1569484800,8378.75,8464.4,8367.89,8387.08,3514.3729999999996
1569499200,8387.0,8438.88,7825.89,7921.82,21856.290000000015
1569513600,7924.55,8160.5,7700.67,8131.12,22026.302999999996
1569528000,8131.23,8157.0,8010.0,8060.15,5263.211000000001
1569542400,8061.98,8093.21,7940.37,8019.99,4893.074999999999
1569556800,8019.15,8081.49,7951.77,8060.01,3443.5240000000013
1569571200,8060.0,8128.78,7951.37,7988.08,6616.750999999999
1569585600,7984.71,8097.0,7851.94,7977.1,11382.027000000004
1569600000,7976.3,8060.01,7934.73,7990.7,6032.962000000002
1569614400,7990.01,8260.0,7980.0,8176.52,7666.313999999997
1569628800,8178.26,8211.21,8120.02,8164.01,3244.0459999999994
1569643200,8164.51,8222.11,8141.18,8211.76,2915.338999999999
1569657600,8212.47,8243.54,8124.03,8133.23,3799.9580000000024
1569672000,8132.68,8135.7,8001.14,8064.07,7324.607
