time,open,high,low,close,volume
1568329200,10386.76,10397.29,10357.51,10395.65,342.77399999999994
1568331000,10391.5,10415.13,10370.8,10415.13,310.12300000000005
1568332800,10414.96,10440.55,10391.0,10409.04,309.9079999999999
1568334600,10406.08,10409.61,10368.98,10387.34,326.82699999999994
1568336400,10387.34,10387.5,10358.79,10376.7,297.72800000000007
1568338200,10375.37,10385.69,10329.3,10335.68,308.857
1568340000,10335.35,10363.11,10332.83,10362.67,307.457
1568341800,10361.54,10386.64,10351.3,10365.43,304.0129999999999
1568343600,10365.47,10369.57,10345.97,10352.39,298.40299999999996
1568345400,10352.39,10368.39,10350.83,10364.64,330.4989999999999
1568347200,10364.82,10399.81,10361.61,10369.48,441.943
1568349000,10369.34,10370.13,10324.68,10336.83,442.5419999999998
1568350800,10328.75,10343.52,10281.69,10296.15,470.9530000000001
1568352600,10296.15,10310.67,10272.77,10291.89,458.31800000000004
1568354400,10290.67,10319.8,10274.97,10303.65,461.718
1568356200,10304.37,10312.36,10287.61,10295.54,423.18999999999994
1568358000,10295.54,10296.46,10267.89,10288.63,485.94300000000004
1568359800,10290.67,10291.7,10271.54,10284.03,404.97799999999995
1568361600,10283.68,10327.14,10282.0,10307.0,350.424
1568363400,10307.0,10307.86,10255.25,10278.48,322.8859999999999
1568365200,10277.0,10320.84,10262.51,10293.93,343.60800000000006
1568367000,10292.68,10313.65,10291.12,10306.43,492.37300000000005
1568368800,10306.94,10323.51,10292.21,10303.05,493.98600000000005
1568370600,10304.35,10305.91,10272.02,10272.91,501.37899999999996
1568372400,10272.91,10305.17,10251.99,10291.61,480.27
1568374200,10291.61,10307.47,10270.01,10306.52,359.05600000000004
1568376000,10306.52,10317.74,10292.58,10305.34,525.0140000000001
1568377800,10305.76,10344.0,10302.25,10323.98,501.46500000000015
1568379600,10324.82,10336.11,10294.01,10304.71,372.71400000000006
1568381400,10303.47,10317.72,10286.27,10307.01,416.56100000000004
1568383200,10306.78,10306.78,10270.0,10281.57,405.279
1568385000,10281.09,10305.85,10271.43,10286.2,456.1620000000001
1568386800,10286.2,10320.29,10281.34,10305.68,470.09800000000007
1568388600,10308.38,10326.46,10289.55,10296.57,409.19700000000006
1568390400,10294.81,10309.92,10280.0,10288.79,399.022
1568392200,10286.9,10300.62,10279.35,10296.3,385.557
1568394000,10300.05,10310.08,10190.0,10216.81,491.53899999999993
1568395800,10214.93,10257.02,10214.93,10226.61,295.251
1568397600,10224.6,10243.17,10216.35,10224.61,361.8950000000001
1568399400,10224.61,10226.94,10186.34,10220.93,441.89500000000004
1568401200,10222.58,10224.7,10200.16,10204.03,504.82799999999986
1568403000,10205.8,10217.24,10186.65,10210.25,398.40900000000005
1568404800,10210.25,10225.3,10153.51,10206.39,393.257
1568406600,10207.11,10256.81,10207.11,10253.79,341.1410000000001
1568408400,10254.01,10269.97,10231.31,10264.26,357.598
1568410200,10264.13,10299.66,10263.96,10287.11,323.6700000000001
1568412000,10287.11,10288.11,10262.08,10273.81,324.308
1568413800,10271.4,10284.01,10250.0,10277.15,355.4910000000001
1568415600,10280.45,10314.01,10258.7,10297.5,397.6019999999999
1568417400,10296.79,10355.85,10295.63,10341.34,507.50900000000007
1568419200,10343.01,10353.72,10310.85,10323.01,363.957
1568421000,10323.01,10323.01,10296.1,10309.03,460.08399999999995
1568422800,10308.11,10318.7,10290.0,10308.24,509.6199999999999
1568424600,10307.05,10311.82,10298.17,10298.45,403.69500000000005
1568426400,10299.73,10307.34,10292.51,10301.2,393.741
1568428200,10301.9,10305.41,10267.08,10276.41,322.90799999999996
1568430000,10276.41,10289.04,10268.21,10285.39,434.309
1568431800,10287.11,10297.58,10280.05,10280.77,409.589
1568433600,10280.58,10287.02,10261.3,10266.92,395.746
1568435400,10265.71,10279.82,10259.75,10278.74,383.03799999999995
1568437200,10276.03,10304.57,10275.87,10302.56,305.33799999999997
1568439000,10304.61,10305.29,10274.48,10287.31,303.63199999999995
1568440800,10287.3,10296.38,10275.04,10291.21,355.7679999999999
1568442600,10291.21,10296.02,10280.12,10283.68,383.868
1568444400,10283.68,10311.41,10280.31,10311.41,369.86699999999996
1568446200,10307.78,10330.61,10307.78,10316.67,476.02500000000003
1568448000,10319.07,10348.0,10317.89,10322.93,408.14799999999997
1568449800,10321.71,10323.22,10307.72,10313.11,515.521
1568451600,10311.91,10336.87,10295.25,10297.11,451.09200000000004
1568453400,10299.41,10310.76,10288.78,10305.47,504.85099999999983
1568455200,10305.79,10313.66,10287.53,10308.9,395.3020000000001
1568457000,10309.13,10321.53,10303.52,10306.88,309.227
1568458800,10307.91,10312.97,10293.51,10296.61,395.01400000000007
1568460600,10295.51,10307.78,10289.05,10291.93,358.13000000000005
1568462400,10292.13,10300.05,10222.77,10260.89,454.288
1568464200,10263.92,10277.15,10248.55,10272.68,441.45600000000013
1568466000,10268.69,10309.67,10267.7,10308.91,418.172
1568467800,10306.39,10349.0,10294.23,10321.0,638.8879999999999
1568469600,10321.0,10357.83,10321.0,10341.07,585.7570000000001
1568471400,10339.21,10356.91,10311.82,10348.72,635.573
1568473200,10346.15,10358.77,10315.0,10340.22,451.0119999999999
1568475000,10341.21,10396.4,10333.83,10358.0,513.8220000000001
